"ctry_code";"techn_field_nr";"RCA_Gen";"RCA_AI";"Period"
"AG";"4";0;NA;"1974-1988"
"AG";"5";0;NA;"1974-1988"
"AG";"6";0;NA;"1974-1988"
"AG";"7";0;NA;"1974-1988"
"AG";"8";0;NA;"1974-1988"
"AG";"9";0;NA;"1974-1988"
"AI";"1";0;NA;"1974-1988"
"AI";"10";0;NA;"1974-1988"
"AI";"11";0;NA;"1974-1988"
"AI";"12";0;NA;"1974-1988"
"AI";"13";0;NA;"1974-1988"
"AI";"14";0;NA;"1974-1988"
"AI";"15";0;NA;"1974-1988"
"AI";"16";0;NA;"1974-1988"
"AI";"17";0;NA;"1974-1988"
"AI";"18";0;NA;"1974-1988"
"AI";"19";0;NA;"1974-1988"
"AI";"2";0;NA;"1974-1988"
"AI";"20";0;NA;"1974-1988"
"AI";"21";0;NA;"1974-1988"
"AI";"22";0;NA;"1974-1988"
"AI";"23";0;NA;"1974-1988"
"AI";"24";0;NA;"1974-1988"
"AI";"25";0;NA;"1974-1988"
"AI";"26";0;NA;"1974-1988"
"AI";"27";0;NA;"1974-1988"
"AI";"28";0;NA;"1974-1988"
"AI";"29";0;NA;"1974-1988"
"AI";"3";0;NA;"1974-1988"
"AI";"30";0;NA;"1974-1988"
"AI";"31";0;NA;"1974-1988"
"AI";"32";0;NA;"1974-1988"
"AI";"33";0;NA;"1974-1988"
"AI";"34";0;NA;"1974-1988"
"AI";"35";0;NA;"1974-1988"
"AI";"4";0;NA;"1974-1988"
"AI";"5";0;NA;"1974-1988"
"AI";"6";0;NA;"1974-1988"
"AI";"7";0;NA;"1974-1988"
"AI";"8";0;NA;"1974-1988"
"AI";"9";0;NA;"1974-1988"
"AL";"1";0;NA;"1974-1988"
"AL";"10";0;NA;"1974-1988"
"AL";"11";0;NA;"1974-1988"
"AL";"12";0;NA;"1974-1988"
"AL";"13";0;NA;"1974-1988"
"AL";"14";0;NA;"1974-1988"
"AL";"15";36,2251098206764;NA;"1974-1988"
"AL";"16";0;NA;"1974-1988"
"AL";"17";10,9535171993413;NA;"1974-1988"
"AL";"18";0;NA;"1974-1988"
"AL";"19";0;NA;"1974-1988"
"AL";"2";0;NA;"1974-1988"
"AL";"20";0;NA;"1974-1988"
"AL";"21";0;NA;"1974-1988"
"AL";"22";0;NA;"1974-1988"
"AL";"23";0;NA;"1974-1988"
"AL";"24";0;NA;"1974-1988"
"AL";"25";0;NA;"1974-1988"
"AL";"26";0;NA;"1974-1988"
"AL";"27";0;NA;"1974-1988"
"AL";"28";0;NA;"1974-1988"
"AL";"29";2,82395847015556;NA;"1974-1988"
"AL";"3";0;NA;"1974-1988"
"AL";"30";8,89732964328734;NA;"1974-1988"
"AL";"31";0;NA;"1974-1988"
"AL";"32";0;NA;"1974-1988"
"AL";"33";0;NA;"1974-1988"
"AL";"34";0;NA;"1974-1988"
"AL";"35";2,88340609837291;NA;"1974-1988"
"AL";"4";0;NA;"1974-1988"
"AL";"5";0;NA;"1974-1988"
"AL";"6";0;NA;"1974-1988"
"AL";"7";0;NA;"1974-1988"
"AL";"8";0;NA;"1974-1988"
"AL";"9";0;NA;"1974-1988"
"AM";"1";12,8194568666283;NA;"1974-1988"
"AM";"10";0;NA;"1974-1988"
"AM";"11";0;NA;"1974-1988"
"AM";"12";0;NA;"1974-1988"
"AM";"13";0;NA;"1974-1988"
"AM";"14";0;NA;"1974-1988"
"AM";"15";0;NA;"1974-1988"
"AM";"16";0;NA;"1974-1988"
"AM";"17";0;NA;"1974-1988"
"AM";"18";0;NA;"1974-1988"
"AM";"19";0;NA;"1974-1988"
"AM";"2";0;NA;"1974-1988"
"AM";"20";0;NA;"1974-1988"
"AM";"21";0;NA;"1974-1988"
"AM";"22";0;NA;"1974-1988"
"AM";"23";0;NA;"1974-1988"
"AM";"24";0;NA;"1974-1988"
"AM";"25";0;NA;"1974-1988"
"AM";"26";0;NA;"1974-1988"
"AM";"27";0;NA;"1974-1988"
"AM";"28";0;NA;"1974-1988"
"AM";"29";0;NA;"1974-1988"
"AM";"3";0;NA;"1974-1988"
"AM";"30";0;NA;"1974-1988"
"AM";"31";0;NA;"1974-1988"
"AM";"32";0;NA;"1974-1988"
"AM";"33";0;NA;"1974-1988"
"AM";"34";0;NA;"1974-1988"
"AM";"35";0;NA;"1974-1988"
"AM";"4";0;NA;"1974-1988"
"AM";"5";0;NA;"1974-1988"
"AM";"6";0;NA;"1974-1988"
"AM";"7";0;NA;"1974-1988"
"AM";"8";0;NA;"1974-1988"
"AM";"9";0;NA;"1974-1988"
"AN";"1";0;NA;"1974-1988"
"AN";"10";0;NA;"1974-1988"
"AN";"11";0;NA;"1974-1988"
"AN";"12";0;NA;"1974-1988"
"AN";"13";0;NA;"1974-1988"
"AN";"14";0;NA;"1974-1988"
"AN";"15";0;NA;"1974-1988"
"AN";"16";49,9959616302971;NA;"1974-1988"
"AN";"17";0;NA;"1974-1988"
"AN";"18";0;NA;"1974-1988"
"AN";"19";0;NA;"1974-1988"
"AN";"2";0;NA;"1974-1988"
"AN";"20";0;NA;"1974-1988"
"AN";"21";0;NA;"1974-1988"
"AN";"22";0;NA;"1974-1988"
"AN";"23";0;NA;"1974-1988"
"AN";"24";0;NA;"1974-1988"
"AN";"25";0;NA;"1974-1988"
"AN";"26";0;NA;"1974-1988"
"AN";"27";0;NA;"1974-1988"
"AN";"28";0;NA;"1974-1988"
"AN";"29";0;NA;"1974-1988"
"AN";"3";0;NA;"1974-1988"
"AN";"30";0;NA;"1974-1988"
"AN";"31";0;NA;"1974-1988"
"AN";"32";12,9994628444948;NA;"1974-1988"
"AN";"33";0;NA;"1974-1988"
"AN";"34";0;NA;"1974-1988"
"AN";"35";0;NA;"1974-1988"
"AN";"4";0;NA;"1974-1988"
"AN";"5";0;NA;"1974-1988"
"AN";"6";0;NA;"1974-1988"
"AN";"7";0;NA;"1974-1988"
"AN";"8";0;NA;"1974-1988"
"AN";"9";0;NA;"1974-1988"
"AR";"1";0,420937389650483;NA;"1974-1988"
"AR";"10";0,677472509115369;NA;"1974-1988"
"AR";"11";0,960952789528294;NA;"1974-1988"
"AR";"12";0,910863419659328;NA;"1974-1988"
"AR";"13";2,94062915117378;NA;"1974-1988"
"AR";"14";1,93332113388008;NA;"1974-1988"
"AR";"15";1,73015449889798;NA;"1974-1988"
"AR";"16";1,7909001181002;NA;"1974-1988"
"AR";"17";0,523153060267048;NA;"1974-1988"
"AR";"18";1,6248186412248;NA;"1974-1988"
"AR";"19";0,45171929807283;NA;"1974-1988"
"AR";"2";0,385239000981571;NA;"1974-1988"
"AR";"20";0,581772739788308;NA;"1974-1988"
"AR";"21";0,407733102596383;NA;"1974-1988"
"AR";"22";0;NA;"1974-1988"
"AR";"23";1,22875795814721;NA;"1974-1988"
"AR";"24";0,801910734163178;NA;"1974-1988"
"AR";"25";1,14554720553628;NA;"1974-1988"
"AR";"26";0,331763741272957;NA;"1974-1988"
"AR";"27";1,79094700368809;NA;"1974-1988"
"AR";"28";0,851594607658463;NA;"1974-1988"
"AR";"29";2,49519912586879;NA;"1974-1988"
"AR";"3";0,650064606088462;NA;"1974-1988"
"AR";"30";1,59355157790221;NA;"1974-1988"
"AR";"31";1,04249655408042;NA;"1974-1988"
"AR";"32";1,31934846779948;NA;"1974-1988"
"AR";"33";2,31697143890514;NA;"1974-1988"
"AR";"34";2,63825541041352;NA;"1974-1988"
"AR";"35";1,79029393570616;NA;"1974-1988"
"AR";"4";0,471911949950539;NA;"1974-1988"
"AR";"5";0,326416078729001;NA;"1974-1988"
"AR";"6";0,153899762139623;NA;"1974-1988"
"AR";"7";0;NA;"1974-1988"
"AR";"8";0;NA;"1974-1988"
"AR";"9";0,188543204733869;NA;"1974-1988"
"AS";"1";0;NA;"1974-1988"
"AS";"10";0;NA;"1974-1988"
"AS";"11";0;NA;"1974-1988"
"AS";"12";0;NA;"1974-1988"
"AS";"13";0;NA;"1974-1988"
"AS";"14";0;NA;"1974-1988"
"AS";"15";0;NA;"1974-1988"
"AS";"16";0;NA;"1974-1988"
"AS";"17";0;NA;"1974-1988"
"AS";"18";0;NA;"1974-1988"
"AS";"19";0;NA;"1974-1988"
"AS";"2";0;NA;"1974-1988"
"AS";"20";0;NA;"1974-1988"
"AS";"21";0;NA;"1974-1988"
"AS";"22";0;NA;"1974-1988"
"AS";"23";0;NA;"1974-1988"
"AS";"24";0;NA;"1974-1988"
"AS";"25";0;NA;"1974-1988"
"AS";"26";0;NA;"1974-1988"
"AS";"27";0;NA;"1974-1988"
"AS";"28";0;NA;"1974-1988"
"AS";"29";22,5916677612444;NA;"1974-1988"
"AS";"3";0;NA;"1974-1988"
"AS";"30";0;NA;"1974-1988"
"AS";"31";0;NA;"1974-1988"
"AS";"32";0;NA;"1974-1988"
"AS";"33";0;NA;"1974-1988"
"AS";"34";0;NA;"1974-1988"
"AS";"35";0;NA;"1974-1988"
"AS";"4";0;NA;"1974-1988"
"AS";"5";0;NA;"1974-1988"
"AS";"6";0;NA;"1974-1988"
"AS";"7";0;NA;"1974-1988"
"AS";"8";0;NA;"1974-1988"
"AS";"9";0;NA;"1974-1988"
"AT";"1";0,74793321312379;0;"1974-1988"
"AT";"10";0,671089048037459;0;"1974-1988"
"AT";"11";0,941573969419272;0;"1974-1988"
"AT";"12";0,508878565350007;0;"1974-1988"
"AT";"13";1,14873984755963;0;"1974-1988"
"AT";"14";1,23796341848348;NA;"1974-1988"
"AT";"15";1,56142714744295;NA;"1974-1988"
"AT";"16";1,85483786220776;NA;"1974-1988"
"AT";"17";0,832979910171584;0;"1974-1988"
"AT";"18";0,55861478326181;NA;"1974-1988"
"AT";"19";1,15020312726076;NA;"1974-1988"
"AT";"2";0,42429917898178;0;"1974-1988"
"AT";"20";1,55368198205583;0;"1974-1988"
"AT";"21";0,648328690307134;NA;"1974-1988"
"AT";"22";0;NA;"1974-1988"
"AT";"23";1,15909334664229;0;"1974-1988"
"AT";"24";1,41639828911711;0;"1974-1988"
"AT";"25";0,959001944002547;0;"1974-1988"
"AT";"26";1,30542597118341;0;"1974-1988"
"AT";"27";1,07819665355426;0;"1974-1988"
"AT";"28";0,757566554649991;NA;"1974-1988"
"AT";"29";1,38937365619106;0;"1974-1988"
"AT";"3";0,553145337154244;0;"1974-1988"
"AT";"30";1,23543585872001;0;"1974-1988"
"AT";"31";1,28132177296856;0;"1974-1988"
"AT";"32";1,41281107885058;0;"1974-1988"
"AT";"33";3,24722607214709;NA;"1974-1988"
"AT";"34";0,891520591860756;NA;"1974-1988"
"AT";"35";2,2602068739093;0;"1974-1988"
"AT";"4";0,279870810835045;0;"1974-1988"
"AT";"5";0,551291934075669;0;"1974-1988"
"AT";"6";0,126986256937867;0;"1974-1988"
"AT";"7";0,0820821091237723;0;"1974-1988"
"AT";"8";0,0596964227100495;0;"1974-1988"
"AT";"9";0,452129275206564;0;"1974-1988"
"AU";"1";0,479120327762582;NA;"1974-1988"
"AU";"10";0,665541829433766;NA;"1974-1988"
"AU";"11";1,27776335249487;NA;"1974-1988"
"AU";"12";0,892790443898752;NA;"1974-1988"
"AU";"13";1,54829737534164;NA;"1974-1988"
"AU";"14";1,0802331908012;NA;"1974-1988"
"AU";"15";1,15413919778175;NA;"1974-1988"
"AU";"16";1,57956286777837;NA;"1974-1988"
"AU";"17";0,606923886481525;NA;"1974-1988"
"AU";"18";1,29774700739291;NA;"1974-1988"
"AU";"19";1,12167212021461;NA;"1974-1988"
"AU";"2";0,297623308289926;NA;"1974-1988"
"AU";"20";0,723139444057632;NA;"1974-1988"
"AU";"21";0,669508203309653;NA;"1974-1988"
"AU";"22";0;NA;"1974-1988"
"AU";"23";1,42003228960072;NA;"1974-1988"
"AU";"24";0,962521455141516;NA;"1974-1988"
"AU";"25";1,66497342452191;NA;"1974-1988"
"AU";"26";0,951561582863637;NA;"1974-1988"
"AU";"27";0,835954488168617;NA;"1974-1988"
"AU";"28";0,484859254361713;NA;"1974-1988"
"AU";"29";1,89933944576274;NA;"1974-1988"
"AU";"3";0,395449186193961;NA;"1974-1988"
"AU";"30";1,1007005744273;NA;"1974-1988"
"AU";"31";1,60016653203638;NA;"1974-1988"
"AU";"32";1,82426730240014;NA;"1974-1988"
"AU";"33";2,96529269684546;NA;"1974-1988"
"AU";"34";1,51548555526599;NA;"1974-1988"
"AU";"35";2,66626155429607;NA;"1974-1988"
"AU";"4";0,202145612701582;NA;"1974-1988"
"AU";"5";0,259252920624022;NA;"1974-1988"
"AU";"6";0,186783695971689;NA;"1974-1988"
"AU";"7";0,284080759140108;NA;"1974-1988"
"AU";"8";0,0597679839935667;NA;"1974-1988"
"AU";"9";0,2854759455073;NA;"1974-1988"
"AZ";"1";0;NA;"1974-1988"
"AZ";"10";9,45638710640203;NA;"1974-1988"
"AZ";"11";0;NA;"1974-1988"
"AZ";"12";0;NA;"1974-1988"
"AZ";"13";0;NA;"1974-1988"
"AZ";"14";17,9906272180507;NA;"1974-1988"
"AZ";"15";0;NA;"1974-1988"
"AZ";"16";0;NA;"1974-1988"
"AZ";"17";0;NA;"1974-1988"
"AZ";"18";0;NA;"1974-1988"
"AZ";"19";0;NA;"1974-1988"
"AZ";"2";0;NA;"1974-1988"
"AZ";"20";0;NA;"1974-1988"
"AZ";"21";0;NA;"1974-1988"
"AZ";"22";0;NA;"1974-1988"
"AZ";"23";0;NA;"1974-1988"
"AZ";"24";0;NA;"1974-1988"
"AZ";"25";0;NA;"1974-1988"
"AZ";"26";0;NA;"1974-1988"
"AZ";"27";0;NA;"1974-1988"
"AZ";"28";0;NA;"1974-1988"
"AZ";"29";0;NA;"1974-1988"
"AZ";"3";0;NA;"1974-1988"
"AZ";"30";0;NA;"1974-1988"
"AZ";"31";0;NA;"1974-1988"
"AZ";"32";0;NA;"1974-1988"
"AZ";"33";0;NA;"1974-1988"
"AZ";"34";0;NA;"1974-1988"
"AZ";"35";0;NA;"1974-1988"
"AZ";"4";0;NA;"1974-1988"
"AZ";"5";0;NA;"1974-1988"
"AZ";"6";0;NA;"1974-1988"
"AZ";"7";0;NA;"1974-1988"
"AZ";"8";0;NA;"1974-1988"
"AZ";"9";0;NA;"1974-1988"
"BA";"1";0;NA;"1974-1988"
"BA";"10";0;NA;"1974-1988"
"BA";"11";0;NA;"1974-1988"
"BA";"12";0;NA;"1974-1988"
"BA";"13";0;NA;"1974-1988"
"BA";"14";0;NA;"1974-1988"
"BA";"15";0;NA;"1974-1988"
"BA";"16";0;NA;"1974-1988"
"BA";"17";0;NA;"1974-1988"
"BA";"18";0;NA;"1974-1988"
"BA";"19";0;NA;"1974-1988"
"BA";"2";0;NA;"1974-1988"
"BA";"20";3,09355345760449;NA;"1974-1988"
"BA";"21";25,2945535869979;NA;"1974-1988"
"BA";"22";0;NA;"1974-1988"
"BA";"23";0;NA;"1974-1988"
"BA";"24";0;NA;"1974-1988"
"BA";"25";0;NA;"1974-1988"
"BA";"26";2,46979674058757;NA;"1974-1988"
"BA";"27";2,89839249389136;NA;"1974-1988"
"BA";"28";0;NA;"1974-1988"
"BA";"29";0;NA;"1974-1988"
"BA";"3";0;NA;"1974-1988"
"BA";"30";0;NA;"1974-1988"
"BA";"31";0;NA;"1974-1988"
"BA";"32";0;NA;"1974-1988"
"BA";"33";0;NA;"1974-1988"
"BA";"34";0;NA;"1974-1988"
"BA";"35";2,56302764299814;NA;"1974-1988"
"BA";"4";0;NA;"1974-1988"
"BA";"5";0;NA;"1974-1988"
"BA";"6";0;NA;"1974-1988"
"BA";"7";0;NA;"1974-1988"
"BA";"8";0;NA;"1974-1988"
"BA";"9";0;NA;"1974-1988"
"BB";"1";0;NA;"1974-1988"
"BB";"10";2,36409677660051;NA;"1974-1988"
"BB";"11";0;NA;"1974-1988"
"BB";"12";0;NA;"1974-1988"
"BB";"13";0;NA;"1974-1988"
"BB";"14";0;NA;"1974-1988"
"BB";"15";18,1125549103382;NA;"1974-1988"
"BB";"16";12,4989904075743;NA;"1974-1988"
"BB";"17";0;NA;"1974-1988"
"BB";"18";0;NA;"1974-1988"
"BB";"19";0;NA;"1974-1988"
"BB";"2";0;NA;"1974-1988"
"BB";"20";0;NA;"1974-1988"
"BB";"21";0;NA;"1974-1988"
"BB";"22";0;NA;"1974-1988"
"BB";"23";0;NA;"1974-1988"
"BB";"24";0;NA;"1974-1988"
"BB";"25";0;NA;"1974-1988"
"BB";"26";2,77852133316102;NA;"1974-1988"
"BB";"27";0;NA;"1974-1988"
"BB";"28";3,56605241956981;NA;"1974-1988"
"BB";"29";2,82395847015556;NA;"1974-1988"
"BB";"3";0;NA;"1974-1988"
"BB";"30";0;NA;"1974-1988"
"BB";"31";7,27575720035292;NA;"1974-1988"
"BB";"32";0;NA;"1974-1988"
"BB";"33";0;NA;"1974-1988"
"BB";"34";0;NA;"1974-1988"
"BB";"35";0;NA;"1974-1988"
"BB";"4";0;NA;"1974-1988"
"BB";"5";0;NA;"1974-1988"
"BB";"6";0;NA;"1974-1988"
"BB";"7";0;NA;"1974-1988"
"BB";"8";0;NA;"1974-1988"
"BB";"9";0;NA;"1974-1988"
"BD";"1";0;NA;"1974-1988"
"BD";"10";0;NA;"1974-1988"
"BD";"11";0;NA;"1974-1988"
"BD";"12";0;NA;"1974-1988"
"BD";"13";0;NA;"1974-1988"
"BD";"14";0;NA;"1974-1988"
"BD";"15";0;NA;"1974-1988"
"BD";"16";0;NA;"1974-1988"
"BD";"17";0;NA;"1974-1988"
"BD";"18";0;NA;"1974-1988"
"BD";"19";12,6104970711998;NA;"1974-1988"
"BD";"2";0;NA;"1974-1988"
"BD";"20";0;NA;"1974-1988"
"BD";"21";0;NA;"1974-1988"
"BD";"22";0;NA;"1974-1988"
"BD";"23";0;NA;"1974-1988"
"BD";"24";0;NA;"1974-1988"
"BD";"25";0;NA;"1974-1988"
"BD";"26";0;NA;"1974-1988"
"BD";"27";0;NA;"1974-1988"
"BD";"28";0;NA;"1974-1988"
"BD";"29";0;NA;"1974-1988"
"BD";"3";0;NA;"1974-1988"
"BD";"30";0;NA;"1974-1988"
"BD";"31";0;NA;"1974-1988"
"BD";"32";0;NA;"1974-1988"
"BD";"33";15,2193221967298;NA;"1974-1988"
"BD";"34";0;NA;"1974-1988"
"BD";"35";0;NA;"1974-1988"
"BD";"4";0;NA;"1974-1988"
"BD";"5";18,2248977290359;NA;"1974-1988"
"BD";"6";0;NA;"1974-1988"
"BD";"7";0;NA;"1974-1988"
"BD";"8";0;NA;"1974-1988"
"BD";"9";0;NA;"1974-1988"
"BE";"1";0,479214872843024;NA;"1974-1988"
"BE";"10";0,530922908294127;NA;"1974-1988"
"BE";"11";2,99695602864202;NA;"1974-1988"
"BE";"12";0,58271602327103;NA;"1974-1988"
"BE";"13";0,994705084185719;NA;"1974-1988"
"BE";"14";2,96322275863053;NA;"1974-1988"
"BE";"15";2,59417858927788;NA;"1974-1988"
"BE";"16";3,19366927629798;NA;"1974-1988"
"BE";"17";1,80728327322274;NA;"1974-1988"
"BE";"18";1,26034760208631;NA;"1974-1988"
"BE";"19";2,16195431025869;NA;"1974-1988"
"BE";"2";0,256134986636988;NA;"1974-1988"
"BE";"20";2,40058330468364;NA;"1974-1988"
"BE";"21";1,57810191098486;NA;"1974-1988"
"BE";"22";0;NA;"1974-1988"
"BE";"23";1,29704184353265;NA;"1974-1988"
"BE";"24";1,07733066262541;NA;"1974-1988"
"BE";"25";0,971029821173333;NA;"1974-1988"
"BE";"26";0,967826393905413;NA;"1974-1988"
"BE";"27";0,590305661173519;NA;"1974-1988"
"BE";"28";0,829457050899653;NA;"1974-1988"
"BE";"29";1,43665145889323;NA;"1974-1988"
"BE";"3";0,826546625687528;NA;"1974-1988"
"BE";"30";0,922610521589807;NA;"1974-1988"
"BE";"31";0,704441688261039;NA;"1974-1988"
"BE";"32";0,901137212365439;NA;"1974-1988"
"BE";"33";1,15093126895923;NA;"1974-1988"
"BE";"34";1,07930257597086;NA;"1974-1988"
"BE";"35";1,3710839654251;NA;"1974-1988"
"BE";"4";0,724562604335403;NA;"1974-1988"
"BE";"5";0,422863568046951;NA;"1974-1988"
"BE";"6";0,158760102665517;NA;"1974-1988"
"BE";"7";0;NA;"1974-1988"
"BE";"8";0,103147757601552;NA;"1974-1988"
"BE";"9";0,548815009673636;NA;"1974-1988"
"BG";"1";0,782049148988089;NA;"1974-1988"
"BG";"10";1,49338921894351;NA;"1974-1988"
"BG";"11";2,71219041113099;NA;"1974-1988"
"BG";"12";1,06335550805811;NA;"1974-1988"
"BG";"13";1,42971613487362;NA;"1974-1988"
"BG";"14";1,57989149913145;NA;"1974-1988"
"BG";"15";2,51287890521634;NA;"1974-1988"
"BG";"16";2,34898928021321;NA;"1974-1988"
"BG";"17";2,63245465930914;NA;"1974-1988"
"BG";"18";4,31251574563237;NA;"1974-1988"
"BG";"19";1,67974519747979;NA;"1974-1988"
"BG";"2";0,379817151336298;NA;"1974-1988"
"BG";"20";2,26352001959156;NA;"1974-1988"
"BG";"21";1,17878437416069;NA;"1974-1988"
"BG";"22";0;NA;"1974-1988"
"BG";"23";1,50197480770592;NA;"1974-1988"
"BG";"24";0,735162921686094;NA;"1974-1988"
"BG";"25";0,932983539822518;NA;"1974-1988"
"BG";"26";1,63351970635381;NA;"1974-1988"
"BG";"27";0,386606808883239;NA;"1974-1988"
"BG";"28";0,694745345624327;NA;"1974-1988"
"BG";"29";1,08505580970001;NA;"1974-1988"
"BG";"3";0,370519368884441;NA;"1974-1988"
"BG";"30";0,494630465379236;NA;"1974-1988"
"BG";"31";0,853707935445136;NA;"1974-1988"
"BG";"32";0,431689929034328;NA;"1974-1988"
"BG";"33";0,131967556099803;NA;"1974-1988"
"BG";"34";0,343274892457004;NA;"1974-1988"
"BG";"35";0,766023881985791;NA;"1974-1988"
"BG";"4";0,349994349449819;NA;"1974-1988"
"BG";"5";1,11965271701044;NA;"1974-1988"
"BG";"6";0,721301618723697;NA;"1974-1988"
"BG";"7";0;NA;"1974-1988"
"BG";"8";0,194188670787207;NA;"1974-1988"
"BG";"9";0,295203861541375;NA;"1974-1988"
"BH";"1";0;NA;"1974-1988"
"BH";"10";0;NA;"1974-1988"
"BH";"11";0;NA;"1974-1988"
"BH";"12";0;NA;"1974-1988"
"BH";"13";0;NA;"1974-1988"
"BH";"14";0;NA;"1974-1988"
"BH";"15";0;NA;"1974-1988"
"BH";"16";0;NA;"1974-1988"
"BH";"17";0;NA;"1974-1988"
"BH";"18";0;NA;"1974-1988"
"BH";"19";0;NA;"1974-1988"
"BH";"2";0;NA;"1974-1988"
"BH";"20";0;NA;"1974-1988"
"BH";"21";0;NA;"1974-1988"
"BH";"22";0;NA;"1974-1988"
"BH";"23";0;NA;"1974-1988"
"BH";"24";0;NA;"1974-1988"
"BH";"25";0;NA;"1974-1988"
"BH";"26";0;NA;"1974-1988"
"BH";"27";0;NA;"1974-1988"
"BH";"28";0;NA;"1974-1988"
"BH";"29";0;NA;"1974-1988"
"BH";"3";0;NA;"1974-1988"
"BH";"30";0;NA;"1974-1988"
"BH";"31";0;NA;"1974-1988"
"BH";"32";0;NA;"1974-1988"
"BH";"33";0;NA;"1974-1988"
"BH";"34";0;NA;"1974-1988"
"BH";"35";0;NA;"1974-1988"
"BH";"4";0;NA;"1974-1988"
"BH";"5";0;NA;"1974-1988"
"BH";"6";0;NA;"1974-1988"
"BH";"7";0;NA;"1974-1988"
"BH";"8";0;NA;"1974-1988"
"BH";"9";0;NA;"1974-1988"
"BI";"1";12,8194568666283;NA;"1974-1988"
"BI";"10";0;NA;"1974-1988"
"BI";"11";0;NA;"1974-1988"
