"";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"Step"
"IQ";0;0;0;0;0;0;0;0;0;0;0;0;87,4656104257322;91,5353219630996;0;0;0;90,6270228830338;0;44,8766161809048;84,6996240591654;0;0;65,2628127085389;90,488656682646;0;88,4703777234258;0;0;0;0;0;0;0;94,1183178673097;"NoStep"
"IR";0;0;73,2530881947434;0;44,3891166946692;0;0;0;0;82,5416214123556;89,613924979936;0;0;87,974742159106;87,0641995497138;33,3758417586217;0;91,5353219630996;0;0;86,3509271327283;0;0;0;84,6996240591654;0;87,6411930203849;0;0;100;88,4703777234258;63,1931240022775;0;0;75,4020699338681;"NoStep"
"IS";0;0;0;0;0;0;0;0;0;0;89,8592455711049;0;12,5070885238694;82,5416214123556;89,613924979936;48,9037405146782;0;87,974742159106;0;0;87,4656104257322;0;90,4948626037419;0;86,3509271327283;0;0;0;84,6996240591654;0;0;65,2628127085389;90,488656682646;100;88,4703777234258;"NoStep"
"IT";0;0;0;0;0;0;0;0;0;0;0;0;44,3891166946692;83,3446301228658;89,8592455711049;79,6406689312441;12,5070885238694;82,5416214123556;0;0;0;0;87,0641995497138;0;87,4656104257322;91,5353219630996;0;0;86,3509271327283;0;93,8019098462032;44,8766161809048;84,6996240591654;89,4858200912088;87,6411930203849;"NoStep"
"JA";0;0;0;0;0;0;0;0;0;88,8291315611843;79,8052501116846;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"JM";0;0;0;0;0;84,6996240591654;0;0;0;0;0;88,4703777234258;0;88,8291315611843;0;75,4020699338681;0;0;0;94,1183178673097;0;0;0;0;12,5070885238694;0;89,613924979936;0;86,0362133789532;87,974742159106;0;0;87,4656104257322;91,5353219630996;90,4948626037419;"NoStep"
"JO";0;0;0;0;0;0;0;0;0;0;0;0;65,2628127085389;0;0;0;63,1931240022775;0;0;0;0;0;73,2530881947434;94,1183178673097;0;83,3446301228658;0;0;0;0;89,613924979936;0;0;0;0;"NoStep"
"JP";48,9037405146782;86,0362133789532;87,974742159106;87,0641995497138;33,3758417586217;87,4656104257322;91,5353219630996;90,4948626037419;0;86,3509271327283;0;93,8019098462032;0;0;0;0;0;0;0;88,4703777234258;63,1931240022775;0;0;0;0;0;73,2530881947434;94,1183178673097;0;83,3446301228658;0;0;0;0;0;"NoStep"
"KE";0;0;0;0;0;0;0;0;0;87,4656104257322;0;0;0;86,3509271327283;0;0;0;84,6996240591654;89,4858200912088;87,6411930203849;0;0;0;0;63,1931240022775;88,8291315611843;0;75,4020699338681;0;0;0;94,1183178673097;0;83,3446301228658;89,8592455711049;"NoStep"
"KI";0;0;0;0;0;0;0;0;0;0;0;0;0;0;91,5353219630996;0;0;0;0;0;0;0;89,4858200912088;87,6411930203849;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"KN";0;0;0;0;0;0;0;0;0;0;0;0;48,9037405146782;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;"NoStep"
"KP";0;63,1931240022775;0;0;75,4020699338681;60,3215130943772;0;0;0;0;83,3446301228658;0;79,6406689312441;12,5070885238694;82,5416214123556;89,613924979936;48,9037405146782;86,0362133789532;0;87,0641995497138;0;0;0;0;0;0;90,6270228830338;0;0;0;0;87,6411930203849;65,2628127085389;90,488656682646;0;"NoStep"
"KR";0;65,2628127085389;90,488656682646;100;88,4703777234258;0;0;79,8052501116846;0;0;0;0;0;44,3891166946692;83,3446301228658;89,8592455711049;79,6406689312441;12,5070885238694;82,5416214123556;89,613924979936;0;0;0;0;0;0;0;90,4948626037419;0;0;0;0;0;84,6996240591654;0;"NoStep"
"KW";0;0;0;0;0;0;0;0;0;0;0;0;75,4020699338681;0;89,2517452477835;73,2530881947434;94,1183178673097;0;83,3446301228658;89,8592455711049;79,6406689312441;0;0;89,613924979936;0;0;87,974742159106;87,0641995497138;33,3758417586217;0;0;0;0;0;0;"NoStep"
"KY";90,4948626037419;0;0;0;0;0;0;0;0;65,2628127085389;90,488656682646;0;0;0;0;0;0;0;0;0;0;0;83,3446301228658;89,8592455711049;79,6406689312441;0;0;0;0;86,0362133789532;0;0;0;87,4656104257322;91,5353219630996;"NoStep"
"LA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94,1183178673097;0;83,3446301228658;0;0;0;82,5416214123556;0;0;0;87,974742159106;"NoStep"
"LB";0;0;0;0;0;0;0;0;0;0;86,3509271327283;0;0;44,8766161809048;0;0;0;65,2628127085389;90,488656682646;0;0;0;0;0;75,4020699338681;0;0;0;94,1183178673097;0;0;0;0;12,5070885238694;82,5416214123556;"NoStep"
"LI";0;0;0;0;0;0;0;0;0;0;0;0;90,4948626037419;0;0;90,6270228830338;0;0;0;0;87,6411930203849;0;0;0;88,4703777234258;63,1931240022775;0;0;75,4020699338681;60,3215130943772;89,2517452477835;0;94,1183178673097;44,3891166946692;83,3446301228658;"NoStep"
"LK";0;0;0;0;0;79,6406689312441;0;0;0;0;0;0;0;0;0;0;0;0;86,3509271327283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89,2517452477835;"NoStep"
"LR";0;0;0;0;0;0;0;0;89,8592455711049;0;0;0;89,613924979936;0;0;0;0;0;87,4656104257322;0;0;0;0;0;0;44,8766161809048;0;0;87,6411930203849;0;0;100;0;0;0;"NoStep"
"LT";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87,0641995497138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"LU";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82,5416214123556;89,613924979936;0;0;0;87,0641995497138;33,3758417586217;0;0;90,4948626037419;0;86,3509271327283;90,6270228830338;0;44,8766161809048;84,6996240591654;"NoStep"
"LY";90,6270228830338;0;0;0;0;0;0;0;0;0;0;0;79,8052501116846;0;0;0;0;0;0;83,3446301228658;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86,3509271327283;"NoStep"
"MA";91,5353219630996;0;0;0;0;0;0;0;0;0;0;0;100;88,4703777234258;0;0;79,8052501116846;75,4020699338681;60,3215130943772;89,2517452477835;73,2530881947434;0;44,3891166946692;0;89,8592455711049;0;0;0;0;0;0;0;87,0641995497138;33,3758417586217;0;"NoStep"
"MC";0;0;0;0;0;0;0;0;0;0;0;0;89,4858200912088;87,6411930203849;0;90,488656682646;0;88,4703777234258;0;0;0;0;60,3215130943772;89,2517452477835;73,2530881947434;0;0;83,3446301228658;89,8592455711049;79,6406689312441;12,5070885238694;82,5416214123556;89,613924979936;48,9037405146782;86,0362133789532;"NoStep"
"MD";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65,2628127085389;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"MG";0;0;0;0;0;89,613924979936;0;0;0;0;0;0;0;90,4948626037419;0;86,3509271327283;0;0;0;0;0;0;65,2628127085389;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"ML";89,2517452477835;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90,488656682646;0;0;0;0;0;0;60,3215130943772;"NoStep"
"MN";0;0;0;0;89,2517452477835;0;0;0;83,3446301228658;0;0;12,5070885238694;82,5416214123556;89,613924979936;0;0;87,974742159106;0;0;0;0;0;0;0;90,6270228830338;93,8019098462032;0;0;89,4858200912088;87,6411930203849;65,2628127085389;0;100;0;0;"NoStep"
"MO";90,488656682646;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87,974742159106;0;33,3758417586217;0;0;90,4948626037419;0;0;90,6270228830338;93,8019098462032;0;84,6996240591654;89,4858200912088;0;0;"NoStep"
"MR";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87,0641995497138;0;0;0;0;0;0;0;0;0;"NoStep"
"MT";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89,613924979936;0;0;0;0;0;87,4656104257322;0;0;0;"NoStep"
